,flow,numberOfCars,travelTime
323,0.381,5,12.01505117943174
324,0.225,3,11.741303010374228
325,0.358,4,12.255266774013858
326,0.395,5,11.767882887609858
327,0.296,4,11.996154694092994
328,0.425,5,11.400655544181264
329,0.313,4,11.357755412286775
330,0.445,5,11.740308574058664
331,0.334,4,11.4319749792476
332,0.468,5,11.306629381754727
333,0.404,5,11.71616965932495
334,0.31,4,11.554208588127441
335,0.454,5,11.60217187459185
336,0.231,3,11.315548589036808
337,0.396,4,11.011513084024028
338,0.33,4,11.226125001967674
339,0.318,4,11.371977497212821
340,0.299,4,10.652177893187176
341,0.334,4,10.641807663405551
342,0.246,3,10.796635642921263
343,0.299,4,10.912663130677078
344,0.233,3,11.303704993768939
345,0.151,2,11.779472157699509
346,0.377,4,11.531410805666276
347,0.305,4,11.661503377700836
348,0.305,4,11.650326634866625
349,0.307,4,11.595692237884268
350,0.308,4,11.698428964521492
351,0.3,4,11.790223133131091
352,0.305,4,11.553059620651574
353,0.303,4,11.7371334593442
354,0.303,4,11.734442744326387
355,0.289,4,12.290289592967753
356,0.284,4,12.608857064596819
357,0.307,4,11.738454635823302
358,0.358,4,12.04864535490489
359,0.3,4,11.861023816177283
360,0.301,4,11.79718348547016
361,0.374,5,11.680041033239107
362,0.311,4,11.334207007109992
363,0.318,4,11.19492403076124
364,0.443,5,10.901279259448128
365,0.407,5,11.008728691946182
366,0.41,5,10.932994763027878
367,0.388,5,11.417427480326683
368,0.222,3,12.101443237126315
369,0.383,4,11.778595822787963
370,0.235,3,11.152605871514197
371,0.318,4,10.806055742620083
372,0.325,4,10.672049888100375
373,0.245,3,10.738120725013083
374,0.163,2,10.956679874032993
375,0.215,3,11.432607409441516
376,0.132,2,12.010006783396106
377,0.311,3,11.333197618570964
378,0.231,3,11.21840003023512
379,0.295,4,11.176693307521681
380,0.305,4,11.307504582850955
381,0.394,5,10.946911249761735
382,0.233,3,11.500589117257643
383,0.359,4,11.8520440995863
384,0.302,4,11.805184886273004
385,0.305,4,11.222216911369092
386,0.258,4,12.178779858115632
387,0.452,5,12.053155953909933
388,0.424,6,11.602286410691196
389,0.46,6,11.587513602249516
390,0.394,5,11.253442408165192
391,0.308,4,11.763592291486322
392,0.226,3,11.434345413415393
393,0.149,2,11.716824735551736
394,0.281,3,12.142431171186075
395,0.471,5,11.774892135448994
396,0.382,5,11.511115079493912
397,0.491,6,11.396754555238845
398,0.439,6,12.427892625076097
399,0.367,5,12.870831080026022
400,0.29,4,11.566526205123363
401,0.376,4,11.282792303913116
402,0.218,3,11.57662794218513
403,0.286,4,11.212321784109278
404,0.325,4,10.612137815991217
405,0.396,5,11.338256752911208
406,0.3,4,11.868441576493375
407,0.229,3,11.848634645202157
408,0.069,1,12.018849425097208
409,0.308,3,10.614727014056967
410,0.244,3,10.76639078691726
411,0.173,2,10.243775159096009
412,0.313,3,10.625701320452631
413,0.243,3,10.778968203625016
414,0.07,1,11.87089516533922
415,0.242,2,11.17968049546742
416,0.157,2,11.210691399706977
417,0.155,2,11.280498499180064
418,0.156,2,10.935137645772997
419,0.234,3,11.880223120229518
420,0.217,3,12.39339774975142
421,0.203,3,12.123326924047415
422,0.245,4,12.058777708429496
423,0.319,5,11.937134526045803
424,0.353,5,12.035970208967477
425,0.351,5,12.171487396755857
426,0.28,4,12.345542217021919
427,0.39,5,12.353332131950538
428,0.478,6,12.627613466473793
429,0.451,6,11.985343978432226
430,0.48,6,12.243703823172225
431,0.422,6,12.313084083299517
432,0.429,6,12.185532926345445
433,0.276,4,12.226937233708394
434,0.34,4,12.245425561865343
435,0.448,6,12.689269004022552
436,0.341,5,12.887931389451607
437,0.397,5,11.886355821664846
438,0.368,5,12.378694400216983
439,0.357,5,12.949152077096052
440,0.207,3,13.438587332348629
441,0.373,4,12.13690743007775
442,0.198,3,10.817158210456995
443,0.376,4,11.352574385691078
444,0.295,4,11.548497494135573
445,0.336,5,11.933642923986248
446,0.282,4,12.71877576414969
447,0.197,3,13.464368541622932
448,0.372,4,12.707679776924394
449,0.28,4,11.864176481192317
450,0.246,3,10.635346138453517
451,0.239,3,10.97246114162126
452,0.265,3,11.115232636505315
453,0.295,3,11.887094823205796
454,0.186,3,12.650523062059943
455,0.374,4,12.116861562525198
456,0.294,4,12.06608496539905
457,0.396,5,12.066468260373647
458,0.285,4,12.601297219255596
459,0.37,5,14.723672580859134
460,0.186,4,17.945624652256694
461,0.312,5,16.369664909141576
462,0.145,4,17.779397365328222
463,0.28,5,16.300515984047667
464,0.177,5,18.05709826737766
465,0.185,6,29.792926371347455
466,0.116,6,41.31544234750941
467,0.14,7,60.418640818225164
468,0.202,8,53.44728616133473
469,0.193,8,81.33944469902754
470,0.28,9,89.03997270805716
471,0.352,10,112.0753330428568
472,0.346,10,102.2519937523294
473,0.562,12,37.65497968143096
474,0.502,12,31.466927170320783
475,0.699,14,24.0147789632971
476,0.613,12,20.062815297221288
477,0.613,12,18.09065906665791
478,0.589,12,18.48038133709025
479,0.584,11,18.141842554932886
480,0.393,9,18.639273654599066
481,0.658,12,18.193012608226066
482,0.523,11,17.790142086582165
483,0.585,12,18.394029825009667
484,0.441,10,18.14832801868474
485,0.445,10,20.40888175473395
486,0.421,11,20.794653013286563
487,0.276,8,25.70267981380283
488,0.457,9,18.824285887476755
489,0.465,9,17.412965733263135
490,0.384,8,17.45629874142347
491,0.402,8,16.663015301813626
492,0.319,7,17.37265196389275
493,0.511,8,15.360894722535663
